brand,name
"Babolat","Synthetic Gut 17 (1.25)"
"Babolat","Super Fine Play 16"
"Babolat","Ballistic Polymono 16"
"Babolat","FiberTour 16"
"Babolat","Revenge 16"
"Babolat","Xcel 16"
"Babolat","Addiction 16"
"Babolat","Origin 17"
"Babolat","Tonic + Natural Gut 16"
"Babolat","Attraction 16"
"Babolat","Pro Hurricane Tour 17"
"Babolat","Duralast 17"
"Babolat","RPM Blast 17/1.25"
"Babolat","Hurricane Feel 17"
"Babolat","Xcel Power 16"
"Babolat","RPM Team 16 Black"
"Babolat","Duralast 16"
"Babolat","Pro Hurricane 16"
"Babolat","VS Natural ThermoGut 16 Touch"
"Babolat","Xcel Premium 17"
"Babolat","VS Natural Team Gut 17 (1.25)"
"Babolat","Xcel Power 17"
"Babolat","Pro Hurricane Tour 16"
"Babolat","Pro Hurricane 17"
"Babolat","Conquest 16"
"Babolat","RPM Blast 16"
"Babolat","RPM Dual 16"
"Babolat","Pro Hurricane 18"
"Babolat","Hurricane Feel 16"
"Babolat","SG SpiralTek 16"
"Babolat","Addiction 17"
"Babolat","Revenge 17"
"Babolat","M7 16 (1.30)"
"Babolat","RPM Blast Rough 15L"
"Babolat","VS Touch 15L (1.35)"
"Babolat","Xcel French Open Black 16"
"Babolat","Origin 16 (1.30)"
"Babolat","RPM Blast 15L (1.35)"
"Babolat","RPM Team 17 (1.25)"
"Babolat","Xcel French Open Black 17"
"Babolat","Synthetic Gut 16 (1.30)"
"Babolat","RPM Blast 18 (1.20)"
"Babolat","RPM Blast Rough 16"
"Babolat","SpiralTek 17"
"Babolat","RPM Blast Rough 17"
"Gamma","Revelation 16"
"Gamma","Zo Magic 16"
"Gamma","TNT2 18 (1.17)"
"Gamma","Professional Spin 16"
"Gamma","Asterisk Tour 16"
"Gamma","Monoblast 16"
"Gamma","Synthetic Gut 16"
"Gamma","WearGuard Synthetic Gut 16"
"Gamma","Zo Tour 17 (1.25)"
"Gamma","Asterisk 16"
"Gamma","Moto 17 (1.24)"
"Gamma","TNT2 Rx 16"
"Gamma","Zo Ice 16"
"Gamma","Synthtic Gut 15L W/wearguard (1.38)"
"Gamma","Zo Tour Rough 16"
"Gamma","Professional 16"
"Gamma","Zo Black Ice 18 (1.18)"
"Gamma","Glide Cross String 16"
"Gamma","Professional 17"
"Gamma","Live Wire 16"
"Gamma","Zo Verve 16 (1.32)"
"Gamma","TNT2 Pro Plus 16"
"Gamma","Moto 16"
"Gamma","TNT2 16"
"Gamma","Zo Power 16L"
"Gamma","Poly Z 16"
"Gamma","Zo Verve 17"
"Gamma","ESP 16"
"Gamma","Live Wire XP 16"
"Gamma","Zo Twist 16"
"Gamma","RZR Rx 16"
"Gamma","Ocho TNT 17 (1.25)"
"Gamma","Prodigy 16"
"Gamma","Zo Black Ice 17 (1.23)"
"Gamma","TNT2 Touch 16"
"Gamma","Asterisk Spin 16"
"Gamma","TNT2 Pro Plus 17L (1.24)"
"Gamma","Zo Tour 16"
"Gamma","IO 17 (1.23)"
"Gamma","Live Wire XP 17 (1.27)"
"Gamma","Revelation 17 (1.27)"
"Gamma","Jet 16L (1.28)"
"Gamma","Ocho TNT 16 (1.30)"
"Gamma","Marathon DPC 16 (1.32)"
"Gamma","TNT2 15L (1.40)"
"Gamma","IO Soft 15L (1.40)"
"Gamma","Synthetic Gut 17 W/wearguard (1.22)"
"Gamma","Zo Dart 17 (1.25)"
"Gamma","Ocho 16 (1.30)"
"Gamma","TNT2 Touch 17 (1.27)"
"Gamma","TNT2 Rx 17 (1.25)"
"Gamma","Moto Soft 16 (1.29)"
"Gamma","Synthetic Gut 17 (1.25)"
"Gamma","IO 18 (1.18)"
"Gamma","Marathon DPC 15 (1.40)"
"Gamma","TNT2 Tour 16 (1.32)"
"Gamma","IO Soft 16 (1.28)"
"Gamma","Live Wire 17 (1.27)"
"Gamma","FXT 17 (1.24)"
"Gamma","Ocho 17 (1.25)"
"Gamma","Solace 16 (1.32)"
"Gamma","TNT2 17 (1.27)"
"Gamma","Moto Soft 17 (1.24)"
"Gamma","Synthetic Gut 18 (1.18)"
"Gamma","RZR Rx 17"
"Gamma","Ocho XP 17 (1.27)"
"Gamma","TNT2 Tour 17 (1.27)"
"Gamma","IO Soft 17 (1.23)"
"Gamma","Professional 18 (1.22)"
"Gamma","FXT 16 (1.30)"
"Gamma","Ocho XP 16 (1.32)"
"Gamma","Solace 17 (1.27)"
"Head","Lynx 16 (1.30)"
"Head","Sonic Pro 16"
"Head","Rip Control 17 (1.25)"
"Head","FXP 17"
"Head","RIP Control 16"
"Head","Sonic Pro 17"
"Head","FXP Power 17"
"Head","FXP 16"
"Head","Sonic Pro Edge 16"
"Head","FXP Power 16"
"Head","ETS 17"
"Head","FXP Tour 16"
"Head","Synthetic Gut 16"
"Head","Lynx Tour 16 (1.30)"
"Head","ETS 16"
"Head","Fibergel Spin 16"
"Head","Fibergel Power 17"
"Head","Hawk 17 (1.25)"
"Head","Ultra Tour 16"
"Head","RIP PerfectPower 16"
"Head","Ultratour 17"
"Head","Synthetic Gut PPS 16"
"Head","Reflex MLT 16 (1.30)"
"Head","Hawk Touch 19 (1.15)"
"Head","PerfectControl 16"
"Head","Velocity MLT 17 (1.25)"
"Head","Fibergel Power 16"
"Head","Hawk 16 (1.30)"
"Head","Lynx 17 (1.25)"
"Head","Hawk Rough 17"
"Head","Synthetic Gut PPS 17 (1.25)"
"Head","Hawk 18 (1.20)"
"Head","Lynx 18 (1.20)"
"Head","Reflex MLT 17 (1.25)"
"Head","Hawk Touch 18 (1.20)"
"Kirschbaum","Black Shark 16 (1.30)"
"Kirschbaum","Super Smash Spiky 1.20"
"Kirschbaum","Super Smash Spiky 17 (1.25)"
"Kirschbaum","Helix 16"
"Kirschbaum","Touch Turbo 1.30"
"Kirschbaum","Touch Turbo 17 (1.25)"
"Kirschbaum","Touch Multifibre 16"
"Kirschbaum","Super Smash Spiky 16/1.30"
"Kirschbaum","Pro Line II 18 (1.15)"
"Kirschbaum","Touch Multifibre 17 (1.25)"
"Kirschbaum","Super Smash 17 (1.25)"
"Kirschbaum","Helix 17"
"Kirschbaum","Pro Line I 1.30"
"Kirschbaum","Touch Turbo 16L (1.275)"
"Kirschbaum","Super Smash 16/1.30"
"Kirschbaum","Pro Line II 17L (1.20)"
"Kirschbaum","P2 17L (1.20)"
"Kirschbaum","Pro Line Evolution 17 (1.25)"
"Kirschbaum","Pro Line I 17L (1.20)"
"Kirschbaum","Competition 17 (1.25)"
"Kirschbaum","Pro Line I 18L (1.15)"
"Kirschbaum","Pro Line X 16 (1.30)"
"Kirschbaum","P2 16/1.30"
"Kirschbaum","Pro Line II 17 (1.25)"
"Kirschbaum","Pro Line X 17 (1.25)"
"Kirschbaum","Xplosive Speed 1.25"
"Kirschbaum","Pro Line I 17 (1.25)"
"Kirschbaum","Competition 17L (1.20)"
"Kirschbaum","Max Power 17 (1.25)"
"Kirschbaum","Max Power Rough 17 (1.25)"
"Kirschbaum","Spiky Shark 17"
"Kirschbaum","Long Life 15"
"Kirschbaum","Pro Line II 1.30"
"Kirschbaum","Spiky Shark 16"
"Kirschbaum","Competition 16/1.30"
"Kirschbaum","P2 17 (1.25)"
"Kirschbaum","Black Shark 17 (1.25)"
"Kirschbaum","Max Power 18 (1.20)"
"Kirschbaum","Max Power Rough 16 (1.30)"
"Kirschbaum","Xplosive Speed 1.30"
"Kirschbaum","Max Power 16 (1.30)"
"Kirschbaum","Max Power Rough 18 (1.20)"
"Luxilon","Monotec Zolo 15L"
"Luxilon","Adrenaline 17/1.20"
"Luxilon","ALU Power 125/16L"
"Luxilon","Adrenaline 16"
"Luxilon","ALU Power Feel 18/1.20"
"Luxilon","Monotec Super Poly 1.25/16L"
"Luxilon","Adrenaline 16L/1.25"
"Luxilon","ALU Power Rough 16L (1.25)"
"Luxilon","Savage 16/1.27"
"Luxilon","Big Banger TiMO 17L (1.17)"
"Luxilon","Alu Power Soft 1.25"
"Luxilon","Big Banger ALU Power Fluoro 17"
"Luxilon","Big Banger ALU Power Spin 127/16"
"Luxilon","4G Rough 16L"
"Luxilon","Monotec Zolo 125/16"
"Luxilon","Adrenaline Rough 16L/1.25"
"Luxilon","4G Soft 1.25"
"Luxilon","Big Banger Ace 18 (1.12)"
"Luxilon","4G 16 (1.30)"
"Luxilon","M2 Pro 125/16"
"Luxilon","4G 16L (1.25)"
"Luxilon","Big Banger Rough 130/16"
"Luxilon","4G S 15"
"Luxilon","Big Banger Original 130/16"
"Luxilon","Big Banger XP 15L (1.38)"
"Luxilon","Big Banger Timo 17 (1.22)"
"Luxilon","Element 1.30"
"Luxilon","Big Banger XP 125/16L"
"Luxilon","M2 Plus 130/16"
"Luxilon","Monotec Supersense 16L/1.25"
"Luxilon","Big Banger Timo 18 (1.10)"
"Luxilon","LXN Smart 16L (1.25)"
"Luxilon","Element 16L (1.25)"
"Luxilon","Natural Gut 1.25"
"Luxilon","LXN Smart 16 (1.30)"
"Luxilon","Element Rough 16 (1.30)"
"MSV","Focus Hex Soft  17 (1.25)"
"MSV","Focus Evo 16"
"MSV","Focus Hex 17L (1.18)"
"MSV","Hepta-Twist 17"
"MSV","Hepta-Twist 16"
"MSV","Co.-Focus 16L"
"MSV","Focus Evo 17"
"MSV","Focus-Hex 16 (1.27)"
"MSV","Focus Hex Soft 17L (1.20)"
"MSV","Focus-Hex 16 (1.23)"
"MSV","Co-Focus 17L (1.18)"
"MSV","Focus-Hex +38 16L (1.25)"
"Pacific","Power Line 16L"
"Pacific","Poly Force 17"
"Pacific","Power Line 17"
"Pacific","PMX 16L"
"Pacific","Prime Natural Gut 16"
"Pacific","Power Twist 16L"
"Pacific","Tough Gut 16L"
"Pacific","Poly Force 16L"
"Pacific","Poly Power Pro 16L (1.25)"
"Pacific","Tough Gut 16"
"Pacific","PMX 17"
"Pacific","X Force 17"
"Pacific","Poly Force Xtreme 16L"
"Pacific","X Force 18"
"Pacific","Prime Natural Gut 16L"
"Pacific","Premium Power X 16L"
"Pacific","Classic Natural Gut 16"
"Pacific","ATP Poly Power Pro 16L"
"Pacific","Poly Power Pro 16 (1.30)"
"Pacific","X Force 16L (1.29)"
"Pacific","XCite 16L (1.25)"
"Pacific","Prime Gut Orange Bull 16L (1.25)"
"Pacific","XCite 16 (1.30)"
"Pacific","Prime Gut Orange Bull 16 (1.30)"
"Polyfibre","Hightec Premium 17"
"Polyfibre","Hexablade 16L (1.25)"
"Polyfibre","TCS 18 (1.15)"
"Polyfibre","Poly Hightec 18"
"Polyfibre","Hightec Premium 16/1.30"
"Polyfibre","Cobra 17/1.20"
"Polyfibre","Poly Hightec 17"
"Polyfibre","TCS 16/1.30"
"Polyfibre","Viper 16L/1.25"
"Polyfibre","Hightec Premium 16L"
"Polyfibre","Poly Hightec 16L"
"Polyfibre","Black Venom 16 (1.30)"
"Polyfibre","TCS 17"
"Polyfibre","Hexablade 17L (1.18)"
"Polyfibre","Black Venom 16L (1.25)"
"Polyfibre","TCS 16L"
"Polyfibre","Poly Hightec 16/1.30"
"Polyfibre","TCS Rapid 16L/1.25"
"Polyfibre","Viper 17/1.20"
"Polyfibre","Black Venom Rough 16L (1.25)"
"Polyfibre","Panthera 16 (1.30)"
"Prince","Syn Gut Original 16"
"Prince","Tournament Poly 16"
"Prince","Premier Touch 15L"
"Prince","Tour XC 17L"
"Prince","Tournament Nylon 15L"
"Prince","Premier Power 18"
"Prince","Synthetic Gut Multifilament 16"
"Prince","Tour XR 17 (1.25)"
"Prince","Tour 16"
"Prince","Premier Control 15L"
"Prince","Tour XS 1.35"
"Prince","Twisted 16L"
"Prince","Tour XP 15L"
"Prince","Synthetic Gut Multifilament 17"
"Prince","Premier LT 18"
"Prince","Lightning XX 16"
"Prince","Premier Control 15"
"Prince","Poly Spin 3D"
"Prince","Premier W/Softflex 16"
"Prince","Tournament Poly 17"
"Prince","Premier Touch 16"
"Prince","Tour 17"
"Prince","Premier Power 17"
"Prince","Synthetic Gut 18 Duraflex"
"Prince","Tour XS 16"
"Prince","Tour XC 15L"
"Prince","Premier W/ Softflex 17"
"Prince","Premier Control 17"
"Prince","Lightning XX 17"
"Prince","Premier LT 17"
"Prince","Synthetic Gut 16 Duraflex"
"Prince","Beast XP 16"
"Prince","Premier Power 16"
"Prince","Poly EXP 17"
"Prince","Tour XC 16L"
"Prince","Topspin W/ Duraflex 15L"
"Prince","Topspin Plus 16"
"Prince","Premier Touch 17"
"Prince","Tour XP 16"
"Prince","Syn Gut Original 17"
"Prince","Tour XT 18"
"Prince","Synthetic Gut 17 Duraflex"
"Prince","Premier Control 16"
"Prince","Recoil 16"
"Prince","Tour XP 17 (1.25)"
"Prince","Diablo Prism 17"
"Prince","Vortex 16 (1.30)"
"Prince","Lightning Pro 16 (1.30)"
"Prince","Tour XR 16 (1.30)"
"Prince","Perfection 16 (1.30)"
"Prince","Tour XR 15L (1.35)"
"Solinco","Tour Bite 16"
"Solinco","Hyper-G 16"
"Solinco","Tour Bite 16 Soft"
"Solinco","Tour Bite 18 (1.15)"
"Solinco","Barb Wire 16"
"Solinco","Revolution 16"
"Solinco","Vanquish 16"
"Solinco","Tour Bite Diamond Rough 16L (1.25)"
"Solinco","Tour Bite Diamond Rough 17 (1.20)"
"Solinco","Revolution 16L (1.25)"
"Solinco","Outlast 17"
"Solinco","Barb Wire 17 (1.20)"
"Solinco","Revolution 17"
"Solinco","Tour Bite Diamond Rough 16 (1.30)"
"Solinco","Tour Bite Soft 17 (1.20)"
"Solinco","Tour Bite 16L (1.25)"
"Solinco","Tour Bite 17"
"Solinco","Outlast 16"
"Solinco","X-Natural 17 (1.20)"
"Solinco","Tour Bite 20 (1.05)"
"Solinco","Hyper-G 18 (1.15)"
"Solinco","Revolution 18 (1.16)"
"Solinco","Tour Bite Soft 18 (1.15)"
"Solinco","Outlast 16L (1.25)"
"Solinco","Barb Wire 16L (1.25)"
"Solinco","Vanquish 17 (1.20)"
"Solinco","Tour Bite 15L (1.35)"
"Solinco","Confidential 16 (1.30)"
"Solinco","Outlast 18 (1.15)"
"Solinco","Tour Bite Soft 16L (1.25)"
"Solinco","Hyper-G 16L (1.25)"
"Solinco","X-Natural 16 (1.30)"
"Solinco","Tour Bite 19 (1.10)"
"Solinco","Hyper-G 17 (1.20)"
"Tecnifibre","Multi-Feel 17 (1.25)"
"Tecnifibre","Black Code 17"
"Tecnifibre","Pro Mix 16"
"Tecnifibre","TGV 17/1.25"
"Tecnifibre","E-Matrix 16"
"Tecnifibre","HDX Tour 17 (1.24)"
"Tecnifibre","Pro Red Code 17"
"Tecnifibre","XR3 17"
"Tecnifibre","X-Code 16"
"Tecnifibre","NRG2 17/1.24"
"Tecnifibre","TGV 16"
"Tecnifibre","Black Code 15L (1.32)"
"Tecnifibre","Pro Red Code 18"
"Tecnifibre","NRG2 16"
"Tecnifibre","HDX Tour 16 (1.30)"
"Tecnifibre","Polyspin 16L"
"Tecnifibre","X-One Biphase 17"
"Tecnifibre","NRG2 18 (1.18)"
"Tecnifibre","Duramix HD 16"
"Tecnifibre","Black Code 4S 17 (1.25)"
"Tecnifibre","X-One Biphase 18"
"Tecnifibre","Duramix HD 17"
"Tecnifibre","X-One Biphase 16"
"Tecnifibre","Pro Mix 17"
"Tecnifibre","E-Matrix 17"
"Tecnifibre","Black Code 16"
"Tecnifibre","Pro Red Code 16"
"Tecnifibre","Multi-Feel 16"
"Tecnifibre","Black Code 18"
"Tecnifibre","XR3 16"
"Tecnifibre","Razor Code 16 (1.30)"
"Tecnifibre","Black Code 4S 16 (1.30)"
"Tecnifibre","Pro Red Code Wax 17"
"Tecnifibre","Multifeel 16 Black (1.30)"
"Tecnifibre","Ruff Code 16 (1.30)"
"Tecnifibre","Razor Code 18 (1.20)"
"Tecnifibre","Ruff Code 17 (1.25)"
"Tecnifibre","Razor Code 17 (1.25)"
"Tecnifibre","Ice Code 16 (1.30)"
"Tecnifibre","Black Code 4S 18 (1.20)"
"Tourna","Big Hitter Blue Rough 17"
"Tourna","Big Hitter Blue 16"
"Tourna","Black Zone 16"
"Tourna","Big Hitter Blue 17"
"Tourna","Big Hitter Blue Rough 16"
"Tourna","Irradiated 16"
"Tourna","Big Hitter Silver Rough 17"
"Tourna","Big Hitter Silver 17"
"Tourna","Quasi-Gut 16"
"Tourna","Big Hitter 16"
"Tourna","Big Hitter Black 7 17"
"Tourna","Big Hitter Silver Rough 16"
"Tourna","Irradiated 17"
"Tourna","Big Hitter Silver 7 Tour 16 (1.30)"
"Tourna","Quasi-Gut Armor 16"
"Tourna","Black Zone 17"
"Tourna","Synthetic Gut Armor 16"
"Tourna","Quasi Gut 17"
"Tourna","Big HItter Black 7 16 (1.25)"
"Tourna","Synthetic Gut Armor 17"
"Tourna","Big HItter Silver 16"
"Tourna","Quasi-Gut Armor 17"
"Volkl","Cyclone Tour 17 (1.25)"
"Volkl","V-Pro 18"
"Volkl","Gripper 17"
"Volkl","Power-Fiber II 16"
"Volkl","Synthetic Gut 17"
"Volkl","Gripper 16"
"Volkl","Power-Fiber II 18"
"Volkl","V-Torque 16"
"Volkl","Synthetic Gut 16"
"Volkl","Cyclone 16"
"Volkl","Cyclone 19 (1.10)"
"Volkl","V-Star 16 (1.30)"
"Volkl","Cyclone 18"
"Volkl","V-Pro 17"
"Volkl","Cyclone Tour 18 (1.20)"
"Volkl","V-Pro 16"
"Volkl","Power-Fiber II 17"
"Volkl","Cyclone 17"
"Volkl","V-Star 18L (1.15)"
"Volkl","Cyclone 18L (1.15)"
"Volkl","V-Torque Tour 16 (1.30)"
"Volkl","V-Star 19 (1.10)"
"Volkl","V-Torque 18 (1.18)"
"Volkl","Cyclone Tour 16 (1.30)"
"Volkl","V-Star 18 (1.20)"
"Volkl","V-Square 16 (1.30)"
"Wilson","NXT Duramax 15 (1.40)"
"Wilson","NXT Control 16 (1.32)"
"Wilson","Natural Gut 16"
"Wilson","Revolve 17 (1.25)"
"Wilson","NXT Tour 16"
"Wilson","Enduro Mono 16L"
"Wilson","Extreme 16 Synthetic Gut"
"Wilson","Red Alert 16"
"Wilson","NXT 16"
"Wilson","K-Gut 16"
"Wilson","Enduro Tour 18"
"Wilson","Sensation 16"
"Wilson","Synthetic Gut Extreme 17"
"Wilson","Sensation 15 (1.35)"
"Wilson","Reaction 16"
"Wilson","SGX 16"
"Wilson","Ripspin 16"
"Wilson","NXT Max 16"
"Wilson","Ripspin 15"
"Wilson","Spin Cycle 16L"
"Wilson","Optimus 16 (1.30)"
"Wilson","NXT 17"
"Wilson","Natural Gut 17"
"Wilson","Hollow Core Pro 17"
"Wilson","Sensation Supreme 16"
"Wilson","Shock Shield 16"
"Wilson","NXT OS"
"Wilson","Ripspin 17"
"Wilson","Enduro Tour 16"
"Wilson","Sensation 17"
"Wilson","Enduro Gold 16"
"Wilson","Stamina 16"
"Wilson","Hollow Core 16"
"Wilson","K-Gut Pro 16"
"Wilson","Hollow Core Pro 16"
"Wilson","Enduro Tour 17"
"Wilson","Enduro Pro 16"
"Wilson","Enduro Pro 17 (1.25)"
"Wilson","NXT Tour 17"
"Wilson","NXT 15L (1.35)"
"Wilson","Synthetic Gut Power 17 (1.25)"
"Wilson","Revolve Spin 16"
"Wilson","NXT Duramax 16 (1.32)"
"Wilson","Revolve 16 (1.30)"
"Wilson","Synthetic Gut Power 16 (1.30)"
"Wilson","NXT Power 17 (1.26)"
"Wilson","Revolve 15 (1.35)"
"Wilson","Natural Gut 16 (1.30)"
"Wilson","Sensation Control 16 (1.30)"
"Wilson","NXT Max 15L (1.35)"
"Wilson","Synthetic Gut Control 17 (1.25)"
"Yonex","Poly Tour HS 16 (1.30)"
"Yonex","Poly Tour Pro Yellow 16 (1.30)"
"Yonex","Tournament 50 16L"
"Yonex","Poly Tour Pro Yellow 16L (1.25)"
"Yonex","Tournament 80 Spin 15L-16"
"Yonex","Poly Tour Drive 16L (1.25)"
"Yonex","Poly Tour Spin G 1.25"
"Yonex","Poly Tour 130/16"
"Yonex","Mono Preme 16 (1.30)"
"Yonex","Poly Tour Air 16L"
"Yonex","Poly Tour Spin 16L (1.25)"
"Yonex","Poly Tour Strike 16L (1.25)"
"Yonex","Tour Super 850 16 (1.30)"
"Yonex","Rexis 16 (1.30)"
"Yonex","Poly Tour Tough 16L"
"Yonex","Poly Tour Pro 17 (1.20)"
"Yonex","Poly Tour Fire 16L (1.25)"
"Yonex","Tour Super Pro 850 16 (1.32)"
"Yonex","Poly Tour HS 16L (1.25)"
"Genesis","Zona Spin Hexa 16 (1.32)"
"Pro Supex","Synthetic Gut Spiral Flex 16"
"Solinco","Hyper-G 19 (1.10)"
"Yonex","Poly Tour Rev 16 (1.30)"
"Gamma","Jet 17 (1.22)"
"Yonex","Poly Tour Rev 16L (1.25)"
"Yonex","Polytour Rev 16L (1.25)"
"Head","Lynx Tour 17 (1.25)"
"Babolat","RPM Blast Orange 16 (1.30)"
"Head","Lynx Touch 16g (1.30)"
"Genesis","Black Magic 16 (1.29)"
"Dunlop","Black Widow 18 (1.21)"
"Dunlop","Ice 16 (1.30)"
"Dunlop","Black Widow 17"
"Dunlop","Black Widow 16"
"Solinco","Hyper-G-Soft 16L (1.25)"
"Dunlop","Explosive 17 (1.26)"
"Dunlop","Ice 17 (1.25)"
"Dunlop","Explosive 18 (1.20)"
"Luxilon","Alu Power Vibe 16 (1.25)"
"Dunlop","Explosive 16"
"Dunlop","Comfort Poly 17"
"Dunlop","Juice 17 (1.26)"
"Dunlop","Juice 16 (1.31)"
"Dunlop","Explosive Tour 16 (1.30)"
"Kirschbaum","Flash 16 (1.25)"
"Dunlop","Explosive Speed 17 (1.25)"
"Dunlop","Explosive Bite 17 (1.27)"
"Yonex","PolyTour REV 16 (1.30)"